c_ot_adm_id	c_ot_adm_chinm	c_ot_adm_engnm	c_ot_adm_desc	c_ot_adm_start	c_ot_adm_end
0	累朝御製文集聖學心法及四書五經性理大全				
1	重書累朝及恭睿献皇帝寶訓實錄				
2	總理薊州昌平保定三鎮練兵事				
3	張家灣鹽倉檢校批驗所				
4	龍江鹽倉檢校批驗所				
5	盧溝穚抽分竹木局				
6	吳王左相大都督府				
7	五經四書性理大全				
8	瓦屑壩抽分竹木局				
9	勘處湖廣貴州夷情				
10	騰驤武驤四衛營				
11	通州抽分竹木局				
12	龍江抽分竹木局				
13	白河抽分竹木局				
14	冊封懷慶宗藩王				
15	冊封安南國王充				
16	英宗睿皇帝實錄				
17	廣積抽分竹木局				
18	通積抽分竹木局				
19	萬全都指揮使司				
20	管理水利屯田				
21	織染所雜造局				
22	親軍指揮使司				
23	書籍名畫等庫				
24	大通關提舉司				
25	廵撫贊理軍務				
26	監視宣府大同				
27	營造提舉分司				
28	監視薊鎮東協				
29	冊封朝鮮國王				
30	進講大學衍義				
31	中都留守司管				
32	冊封華陽王妃				
33	重錄永樂大典				
34	州惠民藥局				
35	龍江提舉司				
36	山東清吏司				
37	刑曹清吏司				
38	行在四川道				
39	河南清吏司				
40	都水清吏司				
41	儒學提舉司				
42	四川清吏司				
43	福建清吏司				
44	職方清吏司				
45	祠祭清吏司				
46	行在鴻臚寺				
47	縣惠民藥局				
48	湖廣清吏司				
49	江西清吏司				
50	在京行用庫				
51	冊封魯王等				
52	戶曹清吏司				
53	鹽場鹽課司				
54	貴州清吏司				
55	雲南清吏司				
56	虞衡清吏司				
57	稽勛清吏司				
58	驗封清吏司				
59	雜造織染局				
60	精膳清吏司				
61	稽勳清吏司				
62	南京副守備				
63	行在錦衣衛				
64	冊封寧陽王				
65	主客清吏司				
66	鹽井鹽課司				
67	批驗茶引所				
68	工曹清吏司				
69	冊封華陽王				
70	陝西清吏司				
71	出使闍婆國				
72	山西清吏司				
73	府惠民藥局				
74	考功清吏司				
75	獻皇帝實錄				
76	交阯清吏司				
77	文選清吏司				
78	武庫清吏司				
79	浙江清吏司				
80	寶鈔廣惠庫				
81	行在通政司				
82	寶鈔提舉司				
83	北平清吏司				
84	行在大理寺				
85	明熹宗實錄				
86	工部管轄司				
87	廣西清吏司				
88	行在太僕寺				
89	北京清吏司				
90	營繕清吏司				
91	儀制清吏司				
92	清江提舉司				
93	車駕清吏司				
94	屯田清吏司				
95	行在太常寺				
96	琉球國冊封				
97	行在都察院				
98	廵撫都察院				
99	禮曹清吏司				
100	武選清吏司				
101	營造提舉司				
102	內府供用庫				
103	吏曹清吏司				
104	行在行人司				
105	行在翰林院				
106	廣東清吏司				
107	行大都督府				
108	提督軍器庫				
109	兩淮鹽運司				
110	兵曹清吏司				
111	惠民藥局				
112	巡撫中軍				
113	會試貢士				
114	大明日曆				
115	外牽照科				
116	清理軍伍				
117	提督西廠				
118	冊封親王				
119	宣課分司				
120	行在禮科				
121	易州山廠				
122	行在戶部				
123	北直民兵				
124	肅宗實錄				
125	都鎮撫司				
126	持節冊封				
127	三朝要典				
128	太宗實錄				
129	文獻大成				
130	管理鎮城				
131	中西三協				
132	內承運庫				
133	征勦流寇				
134	行都督府				
135	通政使司				
136	廣東市舶				
137	鎮守江南				
138	鳳陽軍門				
139	提督狼山				
140	行在中軍				
141	分守州左				
142	西協監視				
143	府軍左衛				
144	長安門倉				
145	行在禮部				
146	行在兵部				
147	冊封德王				
148	福建市舶				
149	南京織造				
150	行在兵科				
151	南鎮撫司				
152	冊封賢妃				
153	前鋒左營				
154	署郎中事				
155	右提舉司				
156	仁宗實錄				
157	寰宇通志				
158	征討安南				
159	憲廟實錄				
160	歷代君鑒				
161	署員外郎				
162	冊封魯藩				
163	提督光祿				
164	北鎮撫司				
165	通判太史				
166	市舶提督				
167	武宗實錄				
168	聽征右哨				
169	稅課分司				
170	提督學校				
171	冊封皇后				
172	分守地方				
173	行在刑科				
174	廷試進士				
175	提督學道				
176	孝宗實錄				
177	提督南京				
178	總督備倭				
179	巡視皇城				
180	行在刑部				
181	浙江市舶				
182	捧節冊封				
183	府軍前衛				
184	行在工部				
185	分守州右				
186	巡視京營				
187	殿庭儀禮				
188	領班備禦				
189	提督織造				
190	領薊鎮班				
191	行在吏部				
192	巡視倉場				
193	行在左軍				
194	出使瓦剌				
195	冊封晉府				
196	唐府冊封				
197	通鑑纂要				
198	左提舉司				
199	冊封貴妃				
200	承天大誌				
201	特進榮祿				
202	大禮全書				
203	行在右軍				
204	統領南兵				
205	北安門倉				
206	西安門倉				
207	協同督運				
208	巡視光祿				
209	出使安南				
210	太倉銀庫				
211	布政使司				
212	巡視內庫				
213	世廟實錄				
214	經略畿輔				
215	纂修實錄				
216	行在監察				
217	蘇州織造				
218	大明會典				
219	冊封淑妃				
220	督理錢法				
221	總監昌宣				
222	東安門倉				
223	行在工科				
224	協理京營				
225	祀儀成典				
226	提督京營				
227	杭州織造				
228	專領護駕				
229	提督謄黃				
230	特進光祿				
231	穆宗實錄				
232	內會總科				
233	宣宗實錄				
234	行在吏科				
235	世宗實錄				
236	憲宗實錄				
237	孝廟實錄				
238	外承運庫				
239	左屯衛				
240	鎮國上				
241	道紀司				
242	寶源局				
243	福建道				
244	法酒庫				
245	儀鸞司				
246	司禮監				
247	尚衣監				
248	鹽馬司				
249	理問所				
250	御藥房				
251	遞運所				
252	雜造局				
253	廣西道				
254	春宮門				
255	職方部				
256	鈔紙局				
257	僧綱司				
258	鴻臚寺				
259	稅課司				
260	紀善所				
261	審理所				
262	神機營				
263	織染局				
264	司輿司				
265	左副副				
266	監軍道				
267	治書侍				
268	大通關				
269	管衛事				
270	都官部				
271	將軍衛				
272	掌科事				
273	司籍司				
274	新南廠				
275	廣盈庫				
276	大理寺				
277	謹身殿				
278	典簿廳				
279	林衡署				
280	行用庫				
281	司牧局				
282	南兵營				
283	都水司				
284	司寶司				
285	軍儲倉				
286	會同館				
287	都指揮				
288	斷事司				
289	司饎司				
290	照磨所				
291	承運庫				
292	司醞司				
293	太和山				
294	陰陽學				
295	宣武大				
296	山東道				
297	顏料局				
298	司獄司				
299	神牲所				
300	弘文館				
301	宏文院				
302	丙字庫				
303	甜食房				
304	掌醢署				
305	典膳所				
306	右率府				
307	司簿司				
308	典儀所				
309	牲口房				
310	前鋒營				
311	織染所				
312	祠祭署				
313	司衣司				
314	征虜左				
315	中護衛				
316	武英台				
317	廣積庫				
318	司計司				
319	嘉蔬署				
320	工正所				
321	貴州道				
322	大官署				
323	陝西道				
324	博士廳				
325	生藥庫				
326	天壽山				
327	誥敕房				
328	司贊司				
329	上輕車				
330	行人司				
331	分守道				
332	司賓司				
333	制敕房				
334	鞍轡局				
335	撫治道				
336	參軍府				
337	寶泉局				
338	征西副				
339	乙字庫				
340	戊字庫				
341	千戶所				
342	華蓋殿				
343	稅課局				
344	翰林院				
345	浙江道				
346	征夷副				
347	督冊道				
348	軍需庫				
349	常平倉				
350	武會試				
351	御茶房				
352	內書堂				
353	司珍司				
354	度支部				
355	考功部				
356	司儀署				
357	太常寺				
358	文華殿				
359	漢經廠				
360	掌饌廳				
361	左護衛				
362	河南道				
363	供用庫				
364	內酒坊				
365	勇士營				
366	教坊司				
367	典兵局				
368	分巡道				
369	柴炭司				
370	驛傳道				
371	僧正司				
372	玉牒館				
373	奉祠所				
374	常盈庫				
375	鹽法道				
376	巡茶馬				
377	良醞署				
378	山西道				
379	司牲司				
380	征蠻副				
381	廣惠庫				
382	征南副				
383	司膳司				
384	兵馬司				
385	文書房				
386	協中軍				
387	右副副				
388	建極殿				
389	四夷館				
390	司記司				
391	江西道				
392	經歷司				
393	考功司				
394	御藥局				
395	左御史				
396	府軍衛				
397	屯田道				
398	繩愆廳				
399	水馬驛				
400	宣課司				
401	茶課司				
402	典服局				
403	河泊所				
404	典牧所				
405	皇太孫				
406	典膳局				
407	通政司				
408	美東衛				
409	正心殿				
410	司勳部				
411	神樂觀				
412	典服所				
413	司藥司				
414	司闈司				
415	三千營				
416	司門部				
417	典璽局				
418	鑄印局				
419	典寶所				
420	閣皁山				
421	北平道				
422	奉命大				
423	司馬部				
424	司言司				
425	殿中侍				
426	典籍廳				
427	雲南道				
428	僧會司				
429	征西前				
430	承天門				
431	協堂道				
432	都稅司				
433	鐵冶所				
434	昭勇大				
435	行在衛				
436	番經廠				
437	中極殿				
438	司務廳				
439	萬戶府				
440	祠祭司				
441	管河道				
442	中後營				
443	皇門官				
444	御酒房				
445	司綵司				
446	五軍營				
447	司賓署				
448	孳牧所				
449	湖廣道				
450	交阯道				
451	起居館				
452	清軍道				
453	軍器局				
454	甲字庫				
455	司燈司				
456	中書房				
457	司樂司				
458	督糧道				
459	巡檢司				
460	安民廠				
461	都督府				
462	司封部				
463	右護衛				
464	司牧司				
465	振武衛				
466	龍虎山				
467	皮作局				
468	屯田部				
469	彈子房				
470	司製司				
471	節慎庫				
472	良醫所				
473	新西廠				
474	典乘局				
475	征虜大				
476	文淵閣				
477	禮儀房				
478	職方司				
479	司設司				
480	騎都尉				
481	司仗司				
482	征鹵前				
483	司飾司				
484	行後軍				
485	典藥局				
486	行在道				
487	奉國上				
488	成國公				
489	文思院				
490	六科廊				
491	刻漏房				
492	招練道				
493	盔甲廠				
494	按察司				
495	光祿寺				
496	遊擊事				
497	道正司				
498	乾清宮				
499	都察院				
500	廣東道				
501	宣撫司				
502	戎政廳				
503	贓罰庫				
504	珍羞署				
505	承奉司				
506	大勝關				
507	司錀庫				
508	典翰局				
509	左率府				
510	主客部				
511	右參議				
512	水利道				
513	營繕所				
514	庫部試				
515	征虜前				
516	蕃育署				
517	征虜副				
518	廣東司				
519	犧牲所				
520	良牧署				
521	鎮撫司				
522	批驗所				
523	武英殿				
524	御馬倉				
525	皇太子				
526	主簿廳				
527	國史院				
528	司苑司				
529	分守右				
530	三茅山				
531	北京道				
532	印鈔局				
533	四川道				
534	丁字庫				
535	道會司				
536	中順				
537	順天				
538	執銳				
539	巡撫				
540	被堅				
541	庫部				
542	儹運				
543	忠顯				
544	中書				
545	監官				
546	輔國				
547	通事				
548	教習				
549	明甲				
550	刑科				
551	軍前				
552	添註				
553	領軍				
554	朝請				
555	二科				
556	虞部				
557	提學				
558	江西				
559	番夷				
560	謄黃				
561	朝列				
562	儀部				
563	鄉試				
564	執膳				
565	監察				
566	守陵				
567	遊擊				
568	奉直				
569	比部				
570	大理				
571	廣東				
572	左侍				
573	協同				
574	同知				
575	征南				
576	密雲				
577	春坊				
578	中奉				
579	後衛				
580	寧夏				
581	京畿				
582	宣大				
583	五官				
584	福建				
585	會典				
586	掌科				
587	甘肅				
588	征蠻				
589	憲部				
590	御馬				
591	行在				
592	兩廣				
593	鹽倉				
594	保定				
595	倉場				
596	武節				
597	都轉				
598	右副				
599	絛作				
600	醫學				
601	南京				
602	議政				
603	一品				
604	步騎				
605	姑孰				
606	嘉議				
607	營部				
608	備兵				
609	駙馬				
610	哨撥				
611	民部				
612	贊善				
613	九關				
614	忠武				
615	三沙				
616	內閣				
617	勲衛				
618	屯田				
619	大同				
620	中城				
621	掌司				
622	援剿				
623	安廬				
624	亞中				
625	一科				
626	東丘				
627	監督				
628	右江				
629	奉議				
630	會試				
631	主試				
632	膳部				
633	外監				
634	外廠				
635	殿試				
636	海防				
637	將軍				
638	禮部				
639	大典				
640	盪寇				
641	金吾				
642	指揮				
643	興獻				
644	民兵				
645	倉庫				
646	監工				
647	中憲				
648	督漕				
649	四川				
650	京營				
651	奉國				
652	採辦				
653	刑部				
654	侍讀				
655	戶部				
656	鄖陽				
657	內府				
658	清軍				
659	廣威				
660	左所				
661	資善				
662	三科				
663	掌印				
664	隨堂				
665	大中				
666	編修				
667	看時				
668	定國				
669	顯武				
670	征彜				
671	正議				
672	昭信				
673	聽征				
674	征戍				
675	監軍				
676	分朔				
677	薊遼				
678	秉筆				
679	宣府				
680	尚藥				
681	侍班				
682	前衛				
683	諫議				
684	廣西				
685	輕車				
686	承信				
687	冊封				
688	入場				
689	大婚				
690	總部				
691	司脯				
692	總科				
693	五軍				
694	印馬				
695	裡監				
696	山西				
697	太廟				
698	巡關				
699	信武				
700	廵撫				
701	通政				
702	修職				
703	登仕				
704	練勇				
705	掛印				
706	天津				
707	縉雲				
708	領班				
709	玉牒				
710	昭毅				
711	練兵				
712	將仕				
713	巡鹽				
714	水部				
715	考功				
716	左院				
717	正治				
718	草場				
719	大長				
720	武學				
721	工部				
722	資德				
723	祠部				
724	帶刀				
725	榮祿				
726	游擊				
727	西路				
728	右侍				
729	坐營				
730	漏刻				
731	淮揚				
732	右寺				
733	總兵				
734	前鋒				
735	佐擊				
736	宣武				
737	旗鼓				
738	廷試				
739	左寺				
740	僉書				
741	打卯				
742	承天				
743	通奉				
744	資政				
745	前軍				
746	參政				
747	京縣				
748	守禦				
749	安邊				
750	中議				
751	興國				
752	紅盔				
753	靈臺				
754	劉河				
755	參侍				
756	殿庭				
757	巡漕				
758	南城				
759	西城				
760	巡江				
761	總捕				
762	明威				
763	涓潔				
764	南院				
765	南贛				
766	金部				
767	散騎				
768	東城				
769	右軍				
770	巡按				
771	浙直				
772	奉訓				
773	懷遠				
774	兩淮				
775	庸田				
776	冊妃				
777	備倭				
778	尚佩				
779	司香				
780	光祿				
781	彎弧				
782	河南				
783	見操				
784	尚履				
785	遼東				
786	尚寶				
787	中路				
788	皇門				
789	勳衛				
790	帶俸				
791	河東				
792	修正				
793	督餉				
794	鎮國				
795	糧稅				
796	吏部				
797	思文				
798	巡城				
799	陝西				
800	斷事				
801	太子				
802	偏沅				
803	原武				
804	右司				
805	本省				
806	刷卷				
807	正儀				
808	管理				
809	史館				
810	提督				
811	外夷				
812	鳳陽				
813	左司				
814	選鋒				
815	三邊				
816	東閣				
817	監鎗				
818	登萊				
819	北廠				
820	織染				
821	左衛				
822	北城				
823	朝議				
824	佩刀				
825	分守				
826	兵部				
827	右院				
828	銀庫				
829	雲南				
830	湖廣				
831	把總				
832	通議				
833	儒學				
834	鋒利				
835	武略				
836	左軍				
837	南路				
838	倉部				
839	龍虎				
840	御史				
841	守備				
842	中軍				
843	昭勇				
844	纂修				
845	直殿				
846	操江				
847	延綏				
848	武毅				
849	武德				
850	五省				
851	安遠				
852	上直				
853	宣威				
854	司玄				
855	實錄				
856	土官				
857	南廠				
858	象房				
859	隨征				
860	征西				
861	後軍				
862	鈔關				
863	武舉				
864	總理				
865	加銜				
866	鎮守				
867	正奉				
868	鎮筸				
869	元史				
870	左副				
871	紀事				
872	奉政				
873	引禮				
874	御前				
875	牧監				
876	察院				
877	直省				
878	備禦				
879	選部				
880	顧命				
881	東廠				
882	迪功				
883	營兵				
884	右衛				
885	侍講				
886	行部				
887	王府				
888	尚冠				
889	尚衣				
890	掌廠				
891	隨營				
892	經筵				
893	四科				
894	協正				
895	驃騎				
896	征夷				
897	督府				
898	協守				
899	駕部				
900	撫民				
901	贊治				
902	昭武				
903	吏科				
904	總督				
905	資治				
906	礦關				
907	奉班				
908	添設				
909	九江				
910	管糧				
911	五經				
912	中衛				
913	都督				
914	總視				
915	添注				
916	山東				
917	浙江				
918	征虜				
919	近侍				
920	定遠				
921	貴州				
922	團練				
923	屯部				
924	行				
925	衛				
926	營				
927	路				
928	殿				
929	管				
930	府				
931	偏				
932	建				
933	前				
934	兼				
935	同				
936	侍				
937	中				
938	後				
939	上				
940	試				
941	大				
