c_appt_type_code	c_appt_type_desc_chn	c_appt_type_desc	check	length
10	添差仍釐務	Extraordinary Appointment Serving		5
9	添差不釐務	Nominal Extraordinary Appointment		5
5	權發遣	Temporary Appontment		3
34	權管勾	Used When The Official'S Rank Is Lower Than The Position Expects		3
68	復補			2
78	擬授			2
77	調繁			2
75	改補			2
73	復改			2
72	復稱		1.0	2
69	復除			2
0	正授	Regular Appointment		2
80	超陞			2
67	歷陞			2
60	例授		1.0	2
59	勅贈			2
55	贈署		1.0	2
53	援例		1.0	2
50	進階			2
79	左遷			2
84	復原			2
81	降陞		1.0	2
97	歷任			2
103	加銜			2
102	添設			2
101	添注			2
100	板授			2
99	候選	CANDIDATE FOR A POST		2
98	復起			2
95	考選		1.0	2
46	遙授		1.0	2
94	降補			2
92	暫擬			2
91	降除			2
89	調補			2
86	補陞			2
85	復調			2
49	特進			2
54	敕封			2
104	帶俸			2
29	累封	Further Enfoeffed As		2
28	卒封	Enfoeffed At Death As		2
27	追贈	Posthumously Granted The Nominal Title Of		2
26	追封	Posthumously Enfoeffed		2
33	簽書	Used When The Official'S Rank Is Lower Than The Position Expects		2
35	致仕	Retired		2
25	入内	Eunuch		2
24	檢校	Honorary Title		2
37	恩例		1.0	2
38	進階			2
23	卒贈	Granted The Nominal Title At Death		2
22	累贈	Granted The Further Nominal Title Of		2
30	襲封	Inherited Enfoeffement As		2
42	誥贈			2
40	蔭襲		1.0	2
43	誥封			2
8	添差	Extraordinary Appointment		2
20	封	Enfoeffed As		1
2	行	Lower Acting Appointment		1
3	守	Higher Acting Appointment		1
83	蔭		1.0	1
4	試	Exceptional Acting Appointment		1
6	借	Temporary Higher Office Appointment		1
7	假	Temporary		1
93	暫			1
87	除			1
11	視	Provisional Appointment		1
88	遷			1
96	擬			1
12	攝	Irregular Appointment		1
21	贈	Granted The Nominal Title Of		1
45	充			1
31	署	Acting		1
61	選			1
48	改			1
44	授			1
51	陞			1
52	追			1
1	權	Provisional Appointment		1
41	任			1
56	進			1
58	加			1
39	表		1.0	1
62	調			1
76	起		1.0	1
63	降			1
64	補			1
65	差			1
66	歷			1
36	兼			1
70	謫			1
71	轉			1
74	復			1
47	賜			1
32	判	Used When The Official'S Rank Is Higher  Than The Position Expects		1
